//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/PredictedContextAlgorithms.framework/Versions/A/PredictedContextAlgorithms
// arch:    arm64e
// uuid:    16C6D189-7855-31E7-A3C1-F4ECF35FB892
// text:    0x0000000262dbf000
// count:   4471 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000262dc0df8  0x00000004  __TEXT,__text  sub  sub_262dc0df8
0x0000000262dc0dfc  0x00000004  __TEXT,__text  sub  sub_262dc0dfc
0x0000000262dc0e00  0x00000038  __TEXT,__text  sub  sub_262dc0e00
0x0000000262dc0e38  0x00000004  __TEXT,__text  sub  sub_262dc0e38
0x0000000262dc0e3c  0x00000004  __TEXT,__text  sub  sub_262dc0e3c
0x0000000262dc0e40  0x00000004  __TEXT,__text  sub  sub_262dc0e40
0x0000000262dc0e44  0x00000004  __TEXT,__text  sub  sub_262dc0e44
0x0000000262dc0e48  0x00000004  __TEXT,__text  sub  sub_262dc0e48
0x0000000262dc0e4c  0x00000054  __TEXT,__text  sub  sub_262dc0e4c
0x0000000262dc0ea0  0x00000150  __TEXT,__text  sub  sub_262dc0ea0
0x0000000262dc0ff0  0x00000150  __TEXT,__text  sub  sub_262dc0ff0
0x0000000262dc1140  0x0000003c  __TEXT,__text  sub  sub_262dc1140
0x0000000262dc117c  0x00000034  __TEXT,__text  sub  sub_262dc117c
0x0000000262dc11b0  0x0000003c  __TEXT,__text  sub  sub_262dc11b0
0x0000000262dc11ec  0x00000054  __TEXT,__text  sub  sub_262dc11ec
0x0000000262dc1240  0x00000054  __TEXT,__text  sub  sub_262dc1240
0x0000000262dc1294  0x00000054  __TEXT,__text  sub  sub_262dc1294
0x0000000262e6d620  0x00000058  __TEXT,__swift5_fieldmd  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOMF  // reflection metadata field descriptor PCNeuralNetworkSupportBridge.PCNeuralNetModel.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7)
0x0000000262e6d678  0x00000120  __TEXT,__swift5_builtin  swift  $s28PCNeuralNetworkSupportBridge0aB18TrainingResultCodeOMB  // reflection metadata builtin descriptor PCNeuralNetworkSupportBridge.PCNeuralNetworkTrainingResultCode
0x0000000262e6d798  0x0000001c  __TEXT,__swift_as_entry  func  __swift_async_entry_functlets
0x0000000262e6d7b4  0x00000020  __TEXT,__swift_as_ret  func  __swift_async_ret_functlets
0x0000000262e6d7d4  0x00000080  __TEXT,__gcc_except_tab  func  GCC_except_table8
0x0000000262e6d854  0x00000024  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000262e6d878  0x000000b4  __TEXT,__gcc_except_tab  func  GCC_except_table1
0x0000000262e6d92c  0x00000024  __TEXT,__gcc_except_tab  func  GCC_except_table2
0x0000000262e6d950  0x00000024  __TEXT,__gcc_except_tab  func  GCC_except_table3
0x0000000262e6d974  0x0000005c  __TEXT,__gcc_except_tab  func  GCC_except_table4
0x0000000262e6d9d0  0x00000024  __TEXT,__gcc_except_tab  func  GCC_except_table5
0x0000000262e6d9f4  0x00000030  __TEXT,__gcc_except_tab  func  GCC_except_table6
0x0000000262e6da24  0x00000040  __TEXT,__gcc_except_tab  func  GCC_except_table8
0x0000000262e6da64  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table10
0x0000000262e6da78  0x00000010  __TEXT,__gcc_except_tab  func  GCC_except_table13
0x0000000262e6da88  0x00000010  __TEXT,__gcc_except_tab  func  GCC_except_table18
0x0000000262e6da98  0x00000010  __TEXT,__gcc_except_tab  func  GCC_except_table21
0x0000000262e6daa8  0x0000000c  __TEXT,__gcc_except_tab  func  GCC_except_table22
0x0000000262e6dab4  0x00000010  __TEXT,__gcc_except_tab  func  GCC_except_table26
0x0000000262e6dac4  0x00000010  __TEXT,__gcc_except_tab  func  GCC_except_table30
0x0000000262e6dad4  0x0000000c  __TEXT,__gcc_except_tab  func  GCC_except_table32
0x0000000262e6dae0  0x00000258  __TEXT,__gcc_except_tab  func  GCC_except_table8
0x0000000262e6dd38  0x00000410  __TEXT,__gcc_except_tab  func  GCC_except_table16
0x0000000262e6e148  0x000000a0  __TEXT,__gcc_except_tab  func  GCC_except_table15
0x0000000262e6e1e8  0x000000a0  __TEXT,__gcc_except_tab  func  GCC_except_table3
0x0000000262e6e288  0x000000bc  __TEXT,__gcc_except_tab  func  GCC_except_table3
0x0000000262e6e344  0x00000064  __TEXT,__gcc_except_tab  func  GCC_except_table2
0x0000000262e6e3a8  0x0000005c  __TEXT,__gcc_except_tab  func  GCC_except_table4
0x0000000262e6e404  0x00000020  __TEXT,__gcc_except_tab  func  GCC_except_table5
0x0000000262e6e424  0x0000000c  __TEXT,__gcc_except_tab  func  GCC_except_table10
0x0000000262e6e430  0x0000000c  __TEXT,__gcc_except_tab  func  GCC_except_table24
0x0000000262e6e43c  0x0000000c  __TEXT,__gcc_except_tab  func  GCC_except_table25
0x0000000262e6e448  0x0000005c  __TEXT,__gcc_except_tab  func  GCC_except_table32
0x0000000262e6e4a4  0x00000018  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000262e6e4bc  0x00000054  __TEXT,__gcc_except_tab  func  GCC_except_table1
0x0000000262e6e510  0x000000b8  __TEXT,__gcc_except_tab  func  GCC_except_table2
0x0000000262e6e5c8  0x00000054  __TEXT,__gcc_except_tab  func  GCC_except_table4
0x0000000262e6e61c  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table5
0x0000000262e6e630  0x0000001c  __TEXT,__gcc_except_tab  func  GCC_except_table7
0x0000000262e6e64c  0x00000028  __TEXT,__gcc_except_tab  func  GCC_except_table8
0x0000000262e6e674  0x00000028  __TEXT,__gcc_except_tab  func  GCC_except_table10
0x0000000262e6e69c  0x00000028  __TEXT,__gcc_except_tab  func  GCC_except_table11
0x0000000262e6e6c4  0x00000024  __TEXT,__gcc_except_tab  func  GCC_except_table12
0x0000000262e6e6e8  0x0000000c  __TEXT,__gcc_except_tab  func  GCC_except_table13
0x0000000262e6e6f4  0x00000018  __TEXT,__gcc_except_tab  func  GCC_except_table22
0x0000000262e6e70c  0x00000010  __TEXT,__gcc_except_tab  func  GCC_except_table37
0x0000000262e6e71c  0x000000c0  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000262e6e7dc  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000262e6e7f0  0x00000010  __TEXT,__gcc_except_tab  func  GCC_except_table2
0x0000000262e6e800  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table6
0x0000000262e6e814  0x00000024  __TEXT,__gcc_except_tab  func  GCC_except_table15
0x0000000262e6e838  0x00011ea8  __TEXT,__gcc_except_tab  func  GCC_except_table2
0x0000000262e806e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$JSONObjectWithData:options:error:
0x0000000262e80700  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$UUID
0x0000000262e80720  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$UUIDString
0x0000000262e80740  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_addConstraintSourceToBin:loiId:
0x0000000262e80760  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_aggregateMergeResults:
0x0000000262e80780  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_allLOIFromBins:
0x0000000262e807a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_annotateEventBundlesWithStartDate:endDate:allEvents:
0x0000000262e807c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_buildWorkoutTypeLocationMapping:
0x0000000262e807e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_bundleEvents:
0x0000000262e80800  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_bundleEvents:startDate:endDate:
0x0000000262e80820  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_calculateLoiProbabilitiesWithLocation:forEvent:usingHistory:andCalendar:atTime:
0x0000000262e80840  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_calculateOverlapFraction:betweenVisit:andCalendar:
0x0000000262e80860  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_calculateRasterizationWindowWithVisits:transitions:currentTimeInSec:windowInHours:windowStartOut:windowEndOut:
0x0000000262e80880  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_convertContextvalueToString:forKey:
0x0000000262e808a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_createDateIntervalStartingAt:probability:embeddings:
0x0000000262e808c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_createEmbeddingFromVisitEvent:atTime:
0x0000000262e808e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_createEventFromVisit:loiMap:
0x0000000262e80900  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_createEventFromWorkout:
0x0000000262e80920  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_createPredictionFromCluster:probability:atTime:embeddings:
0x0000000262e80940  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_createSourcesFromEmbeddings:
0x0000000262e80960  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_currentContextPredictionFromMergeResults:currentLoiIdentifier:currentTime:
0x0000000262e80980  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_decodeClustersFromProtobuf
0x0000000262e809a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_decodeEmbeddingsFromProtobuf
0x0000000262e809c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_distributeProbabilityToBins:loiId:fullProb:effectiveStart:rampUpEnd:rampDownStart:effectiveEnd:sources:transports:
0x0000000262e809e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_dominantSourceBundleIdentifierFromEvents:
0x0000000262e80a00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_earliestSignificantMergeResultAfterTime:excludingLoiId:inMergeResults:confidenceThreshold:
0x0000000262e80a20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_estimatedTransitionDurationFromTransitions:originVisitId:destinationVisitId:
0x0000000262e80a40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_estimatedTransitionDurationInSecondsForDistance:drivingProbability:
0x0000000262e80a60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_estimatedTransportsFromTransitions:originVisitId:destinationVisitId:
0x0000000262e80a80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_extractSourcesLogString:
0x0000000262e80aa0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_extractTransportString:
0x0000000262e80ac0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_finalizeMergeResults:currentTime:windowEndTime:currentContext:currentExitTime:currentExitUnc:
0x0000000262e80ae0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_findAssociatedVisits:forCalendarEvent:usingVisitHistory:
0x0000000262e80b00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_formPrediction:fromLocationCalEvent:probability:currentTime:
0x0000000262e80b20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_formPredictionCommon:begin:end:probability:currentTime:
0x0000000262e80b40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_generateClustersFromBundles:
0x0000000262e80b60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_getClusterFrom:withEmbeddings:andCreationDate:
0x0000000262e80b80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_getDistanceMatrixFrom:
0x0000000262e80ba0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_hasUserWorkedOutForActivityType:nearCurrentVisit:workoutTypeLocationMap:
0x0000000262e80bc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_initVisitHistoryAndOutOfPattern
0x0000000262e80be0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_insertTransitionPredictionWithNextResult:currentExitTime:currentExitUnc:transitionInfo:mergeResults:
0x0000000262e80c00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_isGeneratedCurrentContext:
0x0000000262e80c20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_isWorkoutTypeAlreadyPredicted:inPredictions:
0x0000000262e80c40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_locationIsValid:
0x0000000262e80c60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_logMergeResults:withDescription:
0x0000000262e80c80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_minimumStayAtCurrentContextInSec
0x0000000262e80ca0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_movingAverageForSeries:windowSize:loiIdForPadding:currentContextId:bins:
0x0000000262e80cc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_piecewiseLinearMap:anchorsX:anchorsY:minValue:maxValue:
0x0000000262e80ce0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_predictWorkoutsForVisit:atTime:
0x0000000262e80d00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_predictedTransitionInfoFromHistoricalTransitions:originVisitId:destinationVisitId:
0x0000000262e80d20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_probabilitySeriesFromBins:loiId:
0x0000000262e80d40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_removeExistingTransitionPredictionsFromMergeResults:beforeMergeResult:
0x0000000262e80d60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_requestRetrainIfNeededWithReason:
0x0000000262e80d80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_setError
0x0000000262e80da0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_sortClustersByProbability:
0x0000000262e80dc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_subselectEmbeddings:fromCluster:
0x0000000262e80de0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_transitionEstimationInfoWithNextResult:currentLoiIdentifier:transitionHistory:loiToLocation:
0x0000000262e80e00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_trimResults:currentTime:windowEndTime:
0x0000000262e80e20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_updateActivityInfoForPrediction:fromActivityType:
0x0000000262e80e40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_updateBins:withFilteredSeries:loiId:
0x0000000262e80e60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_updateExitTimeAndUncertaintyOfCurrentContextWithNextResult:currentTime:defaultDurationAtCurrentContext:transitionDuration:inOutExitTime:inOutExitUnc:isGeneratedCurrentContext:
0x0000000262e80e80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_updateProtobufCluster:withNewFeatures:
0x0000000262e80ea0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$abbreviation
0x0000000262e80ec0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$activityContext
0x0000000262e80ee0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$activityContextEmbedding
0x0000000262e80f00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$activityType
0x0000000262e80f20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$adaptMergedClusters:bins:loiToColMap:
0x0000000262e80f40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addCalendarEvents:
0x0000000262e80f60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addEmbeddingIdentifiers:
0x0000000262e80f80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addEmbeddingIdentifiersWithPhenotype:
0x0000000262e80fa0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addEntriesFromDictionary:
0x0000000262e80fc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addHomeKitHomes:
0x0000000262e80fe0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addIndex:
0x0000000262e81000  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addLocationHistory:
0x0000000262e81020  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addLocationOfInterests:
0x0000000262e81040  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addMapsHistoricalNavigation:
0x0000000262e81060  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addMapsViewedPlaces:
0x0000000262e81080  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addMotionActivity:
0x0000000262e810a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addObject:
0x0000000262e810c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addObjectsFromArray:
0x0000000262e810e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addPredictedContextLocations:
0x0000000262e81100  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addPredictedContextTransitions:
0x0000000262e81120  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addPredictedContextTransport:
0x0000000262e81140  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addPredictedContextWorkouts:
0x0000000262e81160  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addPropagatedLocations:
0x0000000262e81180  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addRolledLoiAnalyticsDictionary:
0x0000000262e811a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addSources:
0x0000000262e811c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addTransitions:
0x0000000262e811e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addVisit:
0x0000000262e81200  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addWorkouts:
0x0000000262e81220  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$adjustedScaleFactorWithOriginalScaleFactor:timeUntilEntrySeconds:
0x0000000262e81240  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$algorithmState
0x0000000262e81260  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$allKeys
0x0000000262e81280  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$allObjects
0x0000000262e812a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$allValues
0x0000000262e812c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$allocWithZone:
0x0000000262e812e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$allowDuplicatedWorkouts
0x0000000262e81300  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$analytics
0x0000000262e81320  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$annotateBaseEvents:contextEvents:
0x0000000262e81340  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$annotateEventBundle:visitEvents:
0x0000000262e81360  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$annotateEventBundle:withContextEvents:andBaseEventReference:
0x0000000262e81380  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appendBytes:length:
0x0000000262e813a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appendData:
0x0000000262e813c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appendFormat:
0x0000000262e813e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appendString:
0x0000000262e81400  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$applyMovingAverage:windowSize:currentContextId:
0x0000000262e81420  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$applySinCosTransform:timeZone:
0x0000000262e81440  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$array
0x0000000262e81460  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$arrayByAddingObjectsFromArray:
0x0000000262e81480  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$arrayWithArray:
0x0000000262e814a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$arrayWithCapacity:
0x0000000262e814c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$arrayWithObjects:count:
0x0000000262e814e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$autoupdatingCurrentLocale
0x0000000262e81500  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$batchSize
0x0000000262e81520  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$binEnd
0x0000000262e81540  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$binStart
0x0000000262e81560  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$boolForKey:
0x0000000262e81580  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$boolValue
0x0000000262e815a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$boundValue:toMin:max:
0x0000000262e815c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$buildLoiCoordinateMapFromCandidateDataMap:
0x0000000262e815e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$buildMutableArrayCopyOfSwiftBridgedArray:
0x0000000262e81600  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$buildSimpleMealTagIntervalsForDate:
0x0000000262e81620  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$buildSimpleTimeTagIntervalsForDate:
0x0000000262e81640  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$buildTimeTagIntervalsForDate:
0x0000000262e81660  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bundleIdentifier
0x0000000262e81680  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bundleSubType
0x0000000262e816a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bundleSuperType
0x0000000262e816c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bytes
0x0000000262e816e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateCircularStandardDeviation:cosValues:
0x0000000262e81700  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateCircularStandardDeviationsForCluster:fromEmbeddings:
0x0000000262e81720  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateCircularStandardDeviationsForClusters:fromEmbeddings:
0x0000000262e81740  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateClusterProbabilities:embeddings:clusters:
0x0000000262e81760  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateDistanceBetweenEmbedding:andEmbedding:withWeights:
0x0000000262e81780  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateDistanceFromFeatures:withWeights:fromEmbedding:toEmbedding:
0x0000000262e817a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateGeographicalStandardDeviation:longValues:
0x0000000262e817c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateMinDistanceFrom:to:
0x0000000262e817e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateProbabilityFromDistance:
0x0000000262e81800  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateScoreFromFeatures:identifier:
0x0000000262e81820  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateValidMean:
0x0000000262e81840  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calculateVisitValues:endTime:probs:thresholdStartTime:loi:probabilityCalculationMode:probabilityPercentile:startIdx:
0x0000000262e81860  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calendarEvents
0x0000000262e81880  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calendarEventsAtIndex:
0x0000000262e818a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calendarEventsCount
0x0000000262e818c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calendarId
0x0000000262e818e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$calendarWithIdentifier:
0x0000000262e81900  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$candidateDataMapFromVisits:
0x0000000262e81920  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$candidateLoiToHomeMap
0x0000000262e81940  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$candidateLoiToLocationMap
0x0000000262e81960  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$candidateLoiToWorkMap
0x0000000262e81980  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$candidateModel
0x0000000262e819a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$candidateTimeZone
0x0000000262e819c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$candidateVisitIndicies
0x0000000262e819e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$cartesianFromProtoLocation:
0x0000000262e81a00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$category
0x0000000262e81a20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$cfg
0x0000000262e81a40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$cleanCurrentVisitWithMissingData:
0x0000000262e81a60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearCalendarEvents
0x0000000262e81a80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearEmbeddingIdentifiers
0x0000000262e81aa0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearEmbeddingIdentifiersWithPhenotypes
0x0000000262e81ac0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearHomeKitHomes
0x0000000262e81ae0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearLocationHistorys
0x0000000262e81b00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearLocationOfInterests
0x0000000262e81b20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearMapsHistoricalNavigations
0x0000000262e81b40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearMapsViewedPlaces
0x0000000262e81b60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearMotionActivitys
0x0000000262e81b80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearOneofValuesForInteractionCommand
0x0000000262e81ba0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearOneofValuesForPredictedContextSource
0x0000000262e81bc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearPredictedContextLocations
0x0000000262e81be0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearPredictedContextTransitions
0x0000000262e81c00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearPredictedContextTransports
0x0000000262e81c20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearPredictedContextWorkouts
0x0000000262e81c40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearPropagatedLocations
0x0000000262e81c60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearRolledLoiAnalyticsDictionarys
0x0000000262e81c80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearSources
0x0000000262e81ca0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearTransitions
0x0000000262e81cc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearVisits
0x0000000262e81ce0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clearWorkouts
0x0000000262e81d00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$closeFile
0x0000000262e81d20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$closestHomeLOIFromCandidates:toLocation:
0x0000000262e81d40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clusterMetadata
0x0000000262e81d60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clusterPhenotype
0x0000000262e81d80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$clusterPhenotypeMinimumCountThreshold
