//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SharedWebCredentials.framework/Versions/A/SharedWebCredentials
// arch:    arm64e
// uuid:    CBF4DB42-28FB-37B8-A82C-23CC61910540
// text:    0x0000000191b8b000
// count:   844 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000191b8c1f0  0x000006f0  __TEXT,__text  objc  -[_SWCPattern initWithDictionary:defaults:]  // -[_SWCPattern 'E12]
0x0000000191b9da6c  0x00000084  __TEXT,__text  objc  -[_SWCServiceDetails encodeWithCoder:]  // -[_SWCServiceDetails EXBrightSILEnabled]
0x0000000191b9daf0  0x000000dc  __TEXT,__text  objc  -[_SWCServiceDetails initWithCoder:]  // -[_SWCServiceDetails ?]
0x0000000191b9dbcc  0x0000000c  __TEXT,__text  objc  -[_SWCServiceDetails serviceSpecifier]  // -[_SWCServiceDetails ]
0x0000000191b9dbd8  0x0000000c  __TEXT,__text  objc  -[_SWCServiceDetails .cxx_destruct]  // -[_SWCServiceDetails ]
0x0000000191b9dbe4  0x0000001c  __TEXT,__text  objc  -[_SWCServiceDetails(SWCServiceApproval) isApproved]  // -[_SWCServiceDetails ]
0x0000000191b9dc00  0x0000000c  __TEXT,__text  objc  -[_SWCServiceDetails(SWCServiceApproval) userApprovalState]  // -[_SWCServiceDetails ?]
0x0000000191b9dc0c  0x00000008  __TEXT,__text  objc  -[_SWCServiceDetails(SWCServiceApproval) setUserApprovalState:]  // -[_SWCServiceDetails 3]
0x0000000191b9dc14  0x00000210  __TEXT,__text  objc  -[_SWCServiceDetails(SWCServiceApproval) setUserApprovalState:error:]  // -[_SWCServiceDetails 4F2]
0x0000000191b9de24  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000191b9de34  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000191b9de3c  0x0000004c  __TEXT,__text  func  __69-[_SWCServiceDetails(SWCServiceApproval) setUserApprovalState:error:]_block_invoke
0x0000000191b9de88  0x0000009c  __TEXT,__text  func  __69-[_SWCServiceDetails(SWCServiceApproval) setUserApprovalState:error:]_block_invoke.57
0x0000000191b9df24  0x00000014  __TEXT,__text  objc  -[_SWCServiceDetails(SWCServiceApproval) siteApprovalState]  // -[_SWCServiceDetails ?]
0x0000000191b9df38  0x00000018  __TEXT,__text  objc  -[_SWCServiceDetails(SWCServiceApproval) frameworkApprovalState]  // -[_SWCServiceDetails 1]
0x0000000191b9df50  0x000001dc  __TEXT,__text  objc  -[_SWCServiceDetails(SWCServiceApproval) waitForSiteApprovalWithCompletionHandler:]  // -[_SWCServiceDetails ]
0x0000000191b9e12c  0x00000018  __TEXT,__text  func  __83-[_SWCServiceDetails(SWCServiceApproval) waitForSiteApprovalWithCompletionHandler:]_block_invoke
0x0000000191b9e144  0x00000010  __TEXT,__text  func  __copy_helper_block_ea8_32b
0x0000000191b9e154  0x00000048  __TEXT,__text  objc  +[_SWCServiceDetails(Entitlements) currentProcessHasReadAccess]  // +[_SWCServiceDetails ?]
0x0000000191b9e19c  0x00000050  __TEXT,__text  objc  +[_SWCServiceDetails(Entitlements) auditTokenHasReadAccess:]  // +[_SWCServiceDetails ?]
0x0000000191b9e1ec  0x00000048  __TEXT,__text  objc  +[_SWCServiceDetails(Entitlements) currentProcessHasWriteAccess]  // +[_SWCServiceDetails ?]
0x0000000191b9e234  0x00000050  __TEXT,__text  objc  +[_SWCServiceDetails(Entitlements) auditTokenHasWriteAccess:]  // +[_SWCServiceDetails ?]
0x0000000191b9e284  0x0000000c  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) isUpdating]  // -[_SWCServiceDetails ]
0x0000000191b9e290  0x0000000c  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) isSystemApplication]  // -[_SWCServiceDetails E2]
0x0000000191b9e29c  0x00000014  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) wasReadFromDisk]  // -[_SWCServiceDetails ]
0x0000000191b9e2b0  0x00000014  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) wasProvidedByAdditionalServiceDetailsProvider]  // -[_SWCServiceDetails ?]
0x0000000191b9e2c4  0x0000001c  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) isAlwaysEnabled]  // -[_SWCServiceDetails ?]
0x0000000191b9e2e0  0x0000005c  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) isEnabledByDefault]  // -[_SWCServiceDetails ?]
0x0000000191b9e33c  0x00000008  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) isWatchKitExtension]  // -[_SWCServiceDetails ?]
0x0000000191b9e344  0x00000008  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) isSystemPlaceholder]  // -[_SWCServiceDetails ?]
0x0000000191b9e34c  0x0000000c  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) isEnterpriseManaged]  // -[_SWCServiceDetails ]
0x0000000191b9e358  0x00000058  __TEXT,__text  objc  -[_SWCServiceDetails(SWCExtendedServiceDetails) modeOfOperation]  // -[_SWCServiceDetails ?]
0x0000000191b9e3b0  0x000004a0  __TEXT,__text  objc  +[_SWCServiceDetails(Synchronization) setAdditionalServiceDetailsForApplicationIdentifiers:usingContentsOfDictionary:completionHandler:]  // +[_SWCServiceDetails ?]
0x0000000191b9e850  0x000000bc  __TEXT,__text  func  __136+[_SWCServiceDetails(Synchronization) setAdditionalServiceDetailsForApplicationIdentifiers:usingContentsOfDictionary:completionHandler:]_block_invoke
0x0000000191b9e90c  0x00000070  __TEXT,__text  func  __136+[_SWCServiceDetails(Synchronization) setAdditionalServiceDetailsForApplicationIdentifiers:usingContentsOfDictionary:completionHandler:]_block_invoke.140
0x0000000191b9e97c  0x0000007c  __TEXT,__text  func  __136+[_SWCServiceDetails(Synchronization) setAdditionalServiceDetailsForApplicationIdentifiers:usingContentsOfDictionary:completionHandler:]_block_invoke_2
0x0000000191b9e9f8  0x00000178  __TEXT,__text  objc  +[_SWCServiceDetails(Synchronization) synchronizeWithCompletionHandler:]  // +[_SWCServiceDetails ?]
0x0000000191b9eb70  0x00000070  __TEXT,__text  func  __72+[_SWCServiceDetails(Synchronization) synchronizeWithCompletionHandler:]_block_invoke
0x0000000191b9ebe0  0x0000007c  __TEXT,__text  func  __72+[_SWCServiceDetails(Synchronization) synchronizeWithCompletionHandler:]_block_invoke_2
0x0000000191b9ec5c  0x00000120  __TEXT,__text  objc  +[_SWCServiceDetails(DeveloperMode) isDeveloperModeEnabled]  // +[_SWCServiceDetails ?]
0x0000000191b9ed7c  0x00000004  __TEXT,__text  func  __59+[_SWCServiceDetails(DeveloperMode) isDeveloperModeEnabled]_block_invoke
0x0000000191b9ed80  0x0000006c  __TEXT,__text  func  __59+[_SWCServiceDetails(DeveloperMode) isDeveloperModeEnabled]_block_invoke_2
0x0000000191b9edec  0x0000012c  __TEXT,__text  objc  +[_SWCServiceDetails(DeveloperMode) setDeveloperModeEnabled:completionHandler:]  // +[_SWCServiceDetails ?]
0x0000000191b9ef18  0x00000004  __TEXT,__text  func  __79+[_SWCServiceDetails(DeveloperMode) setDeveloperModeEnabled:completionHandler:]_block_invoke
0x0000000191b9ef1c  0x00000070  __TEXT,__text  func  __79+[_SWCServiceDetails(DeveloperMode) setDeveloperModeEnabled:completionHandler:]_block_invoke_2
0x0000000191b9ef8c  0x00000310  __TEXT,__text  objc  +[_SWCServiceDetails(Private) _serviceDetailsWithServiceSpecifier:URLComponents:limit:callerAuditToken:error:]  // +[_SWCServiceDetails ]
0x0000000191b9f29c  0x0000004c  __TEXT,__text  func  __110+[_SWCServiceDetails(Private) _serviceDetailsWithServiceSpecifier:URLComponents:limit:callerAuditToken:error:]_block_invoke
0x0000000191b9f2e8  0x0000008c  __TEXT,__text  func  __110+[_SWCServiceDetails(Private) _serviceDetailsWithServiceSpecifier:URLComponents:limit:callerAuditToken:error:]_block_invoke_2
0x0000000191b9f374  0x00000008  __TEXT,__text  objc  -[_SWCPatternMatchingEngine initWithPatternDictionaries:]  // -[_SWCPatternMatchingEngine FE]
0x0000000191b9f37c  0x000001e8  __TEXT,__text  objc  -[_SWCPatternMatchingEngine initWithPatternDictionaries:substitutionVariables:]  // -[_SWCPatternMatchingEngine 1]
0x0000000191b9f564  0x000000b8  __TEXT,__text  objc  -[_SWCPatternMatchingEngine _evaluateURLComponents:auditToken:]  // -[_SWCPatternMatchingEngine ]
0x0000000191b9f61c  0x00000034  __TEXT,__text  objc  -[_SWCPatternMatchingEngine evaluateURLComponents:]  // -[_SWCPatternMatchingEngine ]
0x0000000191b9f650  0x00000030  __TEXT,__text  objc  -[_SWCPatternMatchingEngine evaluateURLComponents:auditToken:]  // -[_SWCPatternMatchingEngine ?]
0x0000000191b9f680  0x00000044  __TEXT,__text  objc  -[_SWCPatternMatchingEngine .cxx_destruct]  // -[_SWCPatternMatchingEngine ?]
0x0000000191b9f6c4  0x00000054  __TEXT,__text  objc  -[_SWCPatternMatchingResult _initWithIndex:excluded:]  // -[_SWCPatternMatchingResult ]
0x0000000191b9f718  0x00000008  __TEXT,__text  objc  -[_SWCPatternMatchingResult index]  // -[_SWCPatternMatchingResult I]
0x0000000191b9f720  0x00000008  __TEXT,__text  objc  -[_SWCPatternMatchingResult isExcluded]  // -[_SWCPatternMatchingResult ?]
0x0000000191b9f728  0x00000014  __TEXT,__text  objc  +[_SWCTrackingDomainInfo lastDatabaseUpdate]  // +[_SWCTrackingDomainInfo ]
0x0000000191b9f73c  0x0000035c  __TEXT,__text  objc  +[_SWCTrackingDomainInfo trackingDomainInfoWithDomains:]  // +[_SWCTrackingDomainInfo ?]
0x0000000191b9fa98  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000191b9faa8  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000191b9fab0  0x00000004  __TEXT,__text  func  __56+[_SWCTrackingDomainInfo trackingDomainInfoWithDomains:]_block_invoke
0x0000000191b9fab4  0x0000004c  __TEXT,__text  func  __56+[_SWCTrackingDomainInfo trackingDomainInfoWithDomains:]_block_invoke_2
0x0000000191b9fb00  0x00000278  __TEXT,__text  objc  +[_SWCTrackingDomainInfo getTrackingDomainInfoWithDomains:sources:completion:]  // +[_SWCTrackingDomainInfo ?]
0x0000000191b9fd78  0x00000018  __TEXT,__text  func  __78+[_SWCTrackingDomainInfo getTrackingDomainInfoWithDomains:sources:completion:]_block_invoke
0x0000000191b9fd90  0x00000014  __TEXT,__text  func  __78+[_SWCTrackingDomainInfo getTrackingDomainInfoWithDomains:sources:completion:]_block_invoke.2
0x0000000191b9fda4  0x00000010  __TEXT,__text  objc  -[_SWCTrackingDomainInfo ownerName]  // -[_SWCTrackingDomainInfo A@*ð!àAù±.°1Â0@ù
× ]
0x0000000191b9fdb4  0x00000010  __TEXT,__text  objc  -[_SWCTrackingDomainInfo ownerDisplayName]  // -[_SWCTrackingDomainInfo ?]
0x0000000191b9fdc4  0x00000060  __TEXT,__text  objc  -[_SWCTrackingDomainInfo source]  // -[_SWCTrackingDomainInfo ?]
0x0000000191b9fe24  0x00000060  __TEXT,__text  objc  -[_SWCTrackingDomainInfo canBlockRequest]  // -[_SWCTrackingDomainInfo ]
0x0000000191b9fe84  0x00000034  __TEXT,__text  objc  +[_SWCTrackingDomainInfo _trackingDomainInfoWithDomain:JSONObject:]  // +[_SWCTrackingDomainInfo ?]
0x0000000191b9feb8  0x000000f8  __TEXT,__text  objc  +[_SWCTrackingDomainInfo _trackingDomainInfoWithDomain:JSONObject:expectedSources:]  // +[_SWCTrackingDomainInfo ?]
0x0000000191b9ffb0  0x00000034  __TEXT,__text  objc  +[_SWCTrackingDomainInfo _trackingDomainInfoWithDomains:]  // +[_SWCTrackingDomainInfo @9h]
0x0000000191b9ffe4  0x00000520  __TEXT,__text  objc  +[_SWCTrackingDomainInfo _trackingDomainInfoWithDomains:sources:]  // +[_SWCTrackingDomainInfo ?]
0x0000000191ba0504  0x000000a4  __TEXT,__text  func  __65+[_SWCTrackingDomainInfo _trackingDomainInfoWithDomains:sources:]_block_invoke
0x0000000191ba05a8  0x00000114  __TEXT,__text  objc  +[_SWCTrackingDomainInfo _getTrackingDomainInfoWithDomains:sources:completionHandler:]  // +[_SWCTrackingDomainInfo ?]
0x0000000191ba06bc  0x00000084  __TEXT,__text  func  __86+[_SWCTrackingDomainInfo _getTrackingDomainInfoWithDomains:sources:completionHandler:]_block_invoke
0x0000000191ba0740  0x00000048  __TEXT,__text  func  __copy_helper_block_ea8_32s40b
0x0000000191ba0788  0x0000003c  __TEXT,__text  func  __destroy_helper_block_ea8_32s40s
0x0000000191ba07c4  0x000000e0  __TEXT,__text  objc  -[_SWCTrackingDomainInfo _initWithDomain:JSONObject:]  // -[_SWCTrackingDomainInfo ?]
0x0000000191ba08a4  0x00000008  __TEXT,__text  objc  +[_SWCTrackingDomainInfo supportsSecureCoding]  // +[_SWCTrackingDomainInfo ?]
0x0000000191ba08ac  0x0000007c  __TEXT,__text  objc  -[_SWCTrackingDomainInfo encodeWithCoder:]  // -[_SWCTrackingDomainInfo ght 1]
0x0000000191ba0928  0x000001fc  __TEXT,__text  objc  -[_SWCTrackingDomainInfo initWithCoder:]  // -[_SWCTrackingDomainInfo J]
0x0000000191ba0b24  0x0000000c  __TEXT,__text  objc  -[_SWCTrackingDomainInfo domain]  // -[_SWCTrackingDomainInfo j]
0x0000000191ba0b30  0x00000044  __TEXT,__text  objc  -[_SWCTrackingDomainInfo .cxx_destruct]  // -[_SWCTrackingDomainInfo ?]
0x0000000191ba0b74  0x00000068  __TEXT,__text  objc  +[_SWCTrackingDomainInfo(Private) _queue]  // +[_SWCTrackingDomainInfo ?]
0x0000000191ba0bdc  0x0000006c  __TEXT,__text  func  __41+[_SWCTrackingDomainInfo(Private) _queue]_block_invoke
0x0000000191ba0c48  0x00000048  __TEXT,__text  func  ___ZL6getLogv_block_invoke
0x0000000191ba0c90  0x00000070  __TEXT,__text  func  _SWCFileIsTTY
0x0000000191ba0d00  0x0000002c  __TEXT,__text  func  _SWCForceTTY
0x0000000191ba0d2c  0x00000080  __TEXT,__text  func  _SWCLogSeparator
0x0000000191ba0dac  0x0000019c  __TEXT,__text  func  _SWCLogHeader
0x0000000191ba0f48  0x00000008  __TEXT,__text  func  _SWCLogValueForKey
0x0000000191ba0f50  0x00000230  __TEXT,__text  cxx  __ZL22logValueForOptionalKeyP7__sFILEP8NSStringP11objc_objectiib  // logValueForOptionalKey(__sFILE*, NSString*, objc_object*, int, int, bool)
0x0000000191ba1180  0x00000018  __TEXT,__text  func  _SWCLogObject
0x0000000191ba1198  0x00000018  __TEXT,__text  func  _SWCLogLine
0x0000000191ba11b0  0x00000510  __TEXT,__text  objc  -[_SWCDomain initWithString:]  // -[_SWCDomain ?]
0x0000000191ba16c0  0x0000012c  __TEXT,__text  objc  -[_SWCDomain initWithHost:port:wildcard:modeOfOperation:]  // -[_SWCDomain @]
0x0000000191ba17ec  0x00000048  __TEXT,__text  objc  +[_SWCDomain appleDomain]  // +[_SWCDomain ?]
0x0000000191ba1834  0x00000048  __TEXT,__text  objc  +[_SWCDomain exampleDomain]  // +[_SWCDomain ?]
0x0000000191ba187c  0x00000194  __TEXT,__text  objc  -[_SWCDomain rawValue]  // -[_SWCDomain ]
0x0000000191ba1a10  0x00000748  __TEXT,__text  objc  -[_SWCDomain isValid]  // -[_SWCDomain ?]
0x0000000191ba2158  0x00000094  __TEXT,__text  objc  -[_SWCDomain isHostIPAddress]  // -[_SWCDomain ?]
0x0000000191ba21ec  0x0000007c  __TEXT,__text  objc  -[_SWCDomain topLevelDomainValue]  // -[_SWCDomain ]
0x0000000191ba2268  0x000002c8  __TEXT,__text  objc  -[_SWCDomain encompassesDomain:]  // -[_SWCDomain ?]
0x0000000191ba2530  0x0000006c  __TEXT,__text  objc  -[_SWCDomain nonWildcardDomain]  // -[_SWCDomain ?]
0x0000000191ba259c  0x0000006c  __TEXT,__text  objc  -[_SWCDomain wildcardDomain]  // -[_SWCDomain ?]
0x0000000191ba2608  0x00000070  __TEXT,__text  objc  -[_SWCDomain domainRequiringModeOfOperation:]  // -[_SWCDomain 
]
0x0000000191ba2678  0x00000044  __TEXT,__text  objc  -[_SWCDomain hash]  // -[_SWCDomain ?]
0x0000000191ba26bc  0x000000f4  __TEXT,__text  objc  -[_SWCDomain isEqual:]  // -[_SWCDomain ?]
0x0000000191ba27b0  0x00000004  __TEXT,__text  objc  -[_SWCDomain description]  // -[_SWCDomain h]
0x0000000191ba27b4  0x000000ac  __TEXT,__text  objc  -[_SWCDomain debugDescription]  // -[_SWCDomain 87]
0x0000000191ba2860  0x0000041c  __TEXT,__text  objc  -[_SWCDomain redactedDescription]  // -[_SWCDomain ?]
0x0000000191ba2c7c  0x0000004c  __TEXT,__text  func  __33-[_SWCDomain redactedDescription]_block_invoke
0x0000000191ba2cc8  0x00000028  __TEXT,__text  objc  -[_SWCDomain copyWithZone:]  // -[_SWCDomain ?]
0x0000000191ba2cf0  0x00000008  __TEXT,__text  objc  +[_SWCDomain supportsSecureCoding]  // +[_SWCDomain ?]
0x0000000191ba2cf8  0x000000a4  __TEXT,__text  objc  -[_SWCDomain encodeWithCoder:]  // -[_SWCDomain String"24@"NSString"32@"NSNumber"40]
0x0000000191ba2d9c  0x0000027c  __TEXT,__text  objc  -[_SWCDomain initWithCoder:]  // -[_SWCDomain ?]
0x0000000191ba3018  0x0000000c  __TEXT,__text  objc  -[_SWCDomain host]  // -[_SWCDomain ]
0x0000000191ba3024  0x0000000c  __TEXT,__text  objc  -[_SWCDomain port]  // -[_SWCDomain ]
0x0000000191ba3030  0x0000000c  __TEXT,__text  objc  -[_SWCDomain isWildcard]  // -[_SWCDomain ?]
0x0000000191ba303c  0x0000000c  __TEXT,__text  objc  -[_SWCDomain modeOfOperation]  // -[_SWCDomain ?]
0x0000000191ba3048  0x00000044  __TEXT,__text  objc  -[_SWCDomain .cxx_destruct]  // -[_SWCDomain ?]
0x0000000191ba308c  0x00000048  __TEXT,__text  func  ___ZL6getLogv_block_invoke
0x0000000191ba30d4  0x00000010  __TEXT,__text  objc  +[_SWCPattern new]  // +[_SWCPattern ?]
0x0000000191ba30e4  0x00000010  __TEXT,__text  objc  -[_SWCPattern init]  // -[_SWCPattern ?]
0x0000000191ba30f4  0x00000010  __TEXT,__text  cxx  __ZNSt3__16vectorIcNS_9allocatorIcEEE20__throw_length_errorB9nqn210106Ev  // std::__1::vector<char, std::__1::allocator<char>>::__throw_length_error[abi:nqn210106]()  // aliases: __ZSt28__throw_bad_array_new_lengthB9nqn210106v
0x0000000191ba3104  0x00000010  __TEXT,__text  objc  +[_SWCChatterboxResolver new]  // +[_SWCChatterboxResolver S+]
0x0000000191ba3114  0x00000010  __TEXT,__text  objc  -[_SWCChatterboxResolver init]  // -[_SWCChatterboxResolver ?]
0x0000000191ba3124  0x00000014  __TEXT,__text  func  __clang_call_terminate
0x0000000191ba3138  0x00000010  __TEXT,__text  objc  +[_SWCApplicationIdentifier new]  // +[_SWCApplicationIdentifier ?]
0x0000000191ba3148  0x00000010  __TEXT,__text  objc  -[_SWCApplicationIdentifier init]  // -[_SWCApplicationIdentifier ?]
0x0000000191ba3158  0x00000010  __TEXT,__text  objc  +[_SWCServiceDetails new]  // +[_SWCServiceDetails c`S"]
0x0000000191ba3168  0x00000010  __TEXT,__text  objc  -[_SWCServiceDetails init]  // -[_SWCServiceDetails ?]
0x0000000191ba3178  0x00000010  __TEXT,__text  objc  +[_SWCPatternMatchingEngine new]  // +[_SWCPatternMatchingEngine ?]
0x0000000191ba3188  0x00000010  __TEXT,__text  objc  -[_SWCPatternMatchingEngine init]  // -[_SWCPatternMatchingEngine .]
0x0000000191ba3198  0x00000010  __TEXT,__text  objc  +[_SWCPatternMatchingResult new]  // +[_SWCPatternMatchingResult ]
0x0000000191ba31a8  0x00000010  __TEXT,__text  objc  -[_SWCPatternMatchingResult init]  // -[_SWCPatternMatchingResult _]
0x0000000191ba31b8  0x00000010  __TEXT,__text  objc  +[_SWCTrackingDomainInfo new]  // +[_SWCTrackingDomainInfo ?]
0x0000000191ba31c8  0x00000010  __TEXT,__text  objc  -[_SWCTrackingDomainInfo init]  // -[_SWCTrackingDomainInfo ?]
0x0000000191ba31d8  0x00000010  __TEXT,__text  objc  +[_SWCDomain new]  // +[_SWCDomain ?]
0x0000000191ba31e8  0x00000670  __TEXT,__text  objc  -[_SWCDomain init]  // -[_SWCDomain ?]
0x0000000191ba3858  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_CLASS_METHODS_NSKeyedUnarchiver_$_SWCSecureCodingWorkaround
0x0000000191ba3878  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_INSTANCE_METHODS_NSCoder_$_SWCSecureCodingWorkaround
0x0000000191ba3898  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCApplicationIdentifier
0x0000000191ba38c8  0x00000090  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCChatterboxResolver(Private)
0x0000000191ba3958  0x00000038  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCDomain
0x0000000191ba3990  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCGeneration
0x0000000191ba39a8  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCPattern(Private)
0x0000000191ba39d8  0x00000038  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCPatternList
0x0000000191ba3a10  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCPatternMatchingEngine
0x0000000191ba3a28  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCPatternMatchingResult
0x0000000191ba3a40  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCPrefs
0x0000000191ba3a58  0x000000c8  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCServiceDetails(SWCServiceApproval|Entitlements|SWCExtendedServiceDetails|Synchronization|DeveloperMode|Private)
0x0000000191ba3b20  0x00000060  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCServiceSettings(Removal)
0x0000000191ba3b80  0x00000038  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCServiceSpecifier(SWCExtendedServiceSpecifier|Private)
0x0000000191ba3bb8  0x00000038  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCSubstitutionVariableList
0x0000000191ba3bf0  0x00000090  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS__SWCTrackingDomainInfo(Private)
0x0000000191ba3c80  0x000000f0  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCApplicationIdentifier(LSInterop)
0x0000000191ba3d70  0x00000050  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCChatterboxResolver
0x0000000191ba3dc0  0x00000128  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCDomain
0x0000000191ba3ee8  0x00000090  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCGeneration
0x0000000191ba3f78  0x000000d8  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCPattern
0x0000000191ba4050  0x00000090  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCPatternList
0x0000000191ba40e0  0x00000060  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCPatternMatchingEngine
0x0000000191ba4140  0x00000038  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCPatternMatchingResult
0x0000000191ba4178  0x000000d8  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCPrefs(Private)
0x0000000191ba4250  0x00000158  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCServiceDetails(SWCServiceApproval|Entitlements|SWCExtendedServiceDetails|Synchronization|DeveloperMode|Private)
0x0000000191ba43a8  0x000000c0  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCServiceSettings
0x0000000191ba4468  0x00000150  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCServiceSpecifier(SWCExtendedServiceSpecifier|Private)
0x0000000191ba45b8  0x00000080  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCSubstitutionVariableList
0x0000000191ba4638  0x00000080  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS__SWCTrackingDomainInfo
0x0000000191ba46b8  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_CLASS_METHODS_NSSecureCoding
0x0000000191ba46d0  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCoding
0x0000000191ba46f0  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
0x0000000191ba4708  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_SWCRedactedDescription
0x0000000191ba4720  0x00000110  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_SWCXPCServer
0x0000000191ba4830  0x00000003  __TEXT,__const  cxx  __ZN23SWCSubstitutionVariable6PrefixE  // SWCSubstitutionVariable::Prefix
0x0000000191ba4833  0x0000006d  __TEXT,__const  cxx  __ZN23SWCSubstitutionVariable6SuffixE  // SWCSubstitutionVariable::Suffix
0x0000000191ba48a0  0x00000020  __TEXT,__const  func  _SWCLogSubsystem
0x0000000191ba48c0  0x0000014c  __TEXT,__gcc_except_tab  func  GCC_except_table2
0x0000000191ba4a0c  0x00000030  __TEXT,__gcc_except_tab  func  GCC_except_table3
0x0000000191ba4a3c  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table8
0x0000000191ba4a50  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table9
0x0000000191ba4a64  0x000000d8  __TEXT,__gcc_except_tab  func  GCC_except_table10
0x0000000191ba4b3c  0x000000d8  __TEXT,__gcc_except_tab  func  GCC_except_table21
0x0000000191ba4c14  0x00000058  __TEXT,__gcc_except_tab  func  GCC_except_table22
0x0000000191ba4c6c  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table24
0x0000000191ba4c80  0x0000001c  __TEXT,__gcc_except_tab  func  GCC_except_table25
0x0000000191ba4c9c  0x00000034  __TEXT,__gcc_except_tab  func  GCC_except_table26
0x0000000191ba4cd0  0x0000002c  __TEXT,__gcc_except_tab  func  GCC_except_table33
0x0000000191ba4cfc  0x000000dc  __TEXT,__gcc_except_tab  func  GCC_except_table34
0x0000000191ba4dd8  0x0000004c  __TEXT,__gcc_except_tab  func  GCC_except_table36
0x0000000191ba4e24  0x000000d8  __TEXT,__gcc_except_tab  func  GCC_except_table39
0x0000000191ba4efc  0x00000048  __TEXT,__gcc_except_tab  func  GCC_except_table40
0x0000000191ba4f44  0x000000c4  __TEXT,__gcc_except_tab  func  GCC_except_table41
0x0000000191ba5008  0x00000018  __TEXT,__gcc_except_tab  func  GCC_except_table45
0x0000000191ba5020  0x00000080  __TEXT,__gcc_except_tab  func  GCC_except_table46
